ueou    3   3
eaue    1   1
ueue    1   2   [a-z]*ueuer,[a-z]*ueueing
aai     1   2   [a-z]*aaing
aei     2   1   [a-z]*aei
aou     1   1
eau     1   1
eee     1   1
eeu     1   1
eoa     3   3
eoe     3   2   [a-z]*eoed
eoi     1   1
eou     1   2   [a-z]*[dn]eous[a-z]*
eue     1   1
eui     1   2   [a-z]*euing
iae     2   1   [a-z]*iaev[a-z]*
iao     1   2   miao[a-z]*
iee     1   1
ieu     1   1
ioa     3   3
ioe     2   3   [a-z]*[db]ioe[a-z]*
ioi     2   3   [a-z]*ioings?
ioo     3   3
iou     2   1   [a-z]*xiou[a-z]*,[a-z]*viour[a-z]*
oae     1   1
oeu     2   1   [a-z]*oeuv[a-z]*
oio     3   3
ooo     1   1
oua     1   2   [a-z]*vouac[a-z]*
oue     2   1   [a-z]*[mn]oue[a-z]*
oui     1   1
uaa     1   1
uae     1   2   [a-z]*uae
uai     1   1
uea     1   1
uee     1   1
ueu     1   1
uoa     2   2
uoi     1   1
uoo     1   1
uui     1   1
uuu     1   1
aa      1   1
ae      1   1
ai      1   2   [a-z]*aings?
ao      2   1   caos?
au      1   1
ea      1   1
ee      1   1
ei      1   2   dei[a-z]+,prei[a-z]+
eo      2   2
eu      1   1
ia      2   1   [a-z]*ial[a-z]*
ie      1   2   [a-z]*iet[a-z]*
ii      2   1   [a-z]*ii
io      2   1   [a-z]*[st]ion[a-z]*
iu      2   2
oa      1   1
oe      1   2   [a-z]*poe[a-z]*
oi      1   2   [a-z]*[zt]oic,oin[cgvj][a-z]*
oo      1   2   [a-z]*coor[a-z]*
e       1   0   [a-z]*[^lb]+e
a       1   1
i       1   1
o       1   1
u       1   1
